Year,Week,Vaccination rate
2012,43,0.512392
2012,44,0.512401
2012,45,0.512409
2012,46,0.512415
2012,47,0.512419
2012,48,0.512424
2012,49,0.512429
2012,50,0.512435
2012,51,0.51244
2012,52,0.512448
2013,1,0.000348695
2013,2,0.00202952
2013,3,0.00704179
2013,4,0.0203559
2013,5,0.0475346
2013,6,0.0852224
2013,7,0.133198
2013,8,0.192552
2013,9,0.253198
2013,10,0.306173
2013,11,0.351526
2013,12,0.38554
2013,13,0.412053
2013,14,0.43204
2013,15,0.447536
2013,16,0.454301
2013,17,0.463136
2013,18,0.470173
2013,19,0.475961
2013,20,0.478522
2013,21,0.482905
2013,22,0.488987
2013,23,0.494807
2013,24,0.498268
2013,25,0.500374
2013,26,0.501688
2013,27,0.502558
2013,28,0.503187
2013,29,0.503703
2013,30,0.504039
2013,31,0.504282
2013,32,0.504471
2013,33,0.504619
2013,34,0.504713
2013,35,0.504761
2013,36,0.504795
2013,37,0.504824
2013,38,0.504845
2013,39,0.504863
2013,40,0.504888
2013,41,0.504909
2013,42,0.504921
2013,43,0.504931
2013,44,0.504939
2013,45,0.504945
2013,46,0.504951
2013,47,0.504956
2013,48,0.50496
2013,49,0.504972
2013,50,0.504999
2013,51,0.505048
2013,52,0.505152
2014,1,0.00150487
2014,2,0.00439073
2014,3,0.00972379
2014,4,0.0215819
2014,5,0.0435127
2014,6,0.0773937
2014,7,0.123001
2014,8,0.179099
2014,9,0.245781
2014,10,0.306884
2014,11,0.356472
2014,12,0.394257
2014,13,0.421677
2014,14,0.442024
2014,15,0.457744
2014,16,0.464885
2014,17,0.473842
2014,18,0.480585
2014,19,0.486001
2014,20,0.488185
2014,21,0.490544
2014,22,0.493863
2014,23,0.496104
2014,24,0.497519
2014,25,0.498538
2014,26,0.499316
2014,27,0.499928
2014,28,0.500336
2014,29,0.500692
2014,30,0.500951
2014,31,0.501164
2014,32,0.501326
2014,33,0.501454
2014,34,0.50154
2014,35,0.501584
2014,36,0.501615
2014,37,0.50164
2014,38,0.501662
2014,39,0.501679
2014,40,0.501692
2014,41,0.501704
2014,42,0.501711
2014,43,0.501719
2014,44,0.501728
2014,45,0.501735
2014,46,0.501743
2014,47,0.501748
2014,48,0.501753
2014,49,0.501757
2014,50,0.501762
2014,51,0.50179
2014,52,0.501874
2015,1,0.000660834
2015,2,0.00238857
2015,3,0.00620848
2015,4,0.0155458
2015,5,0.0306996
2015,6,0.0588414
2015,7,0.0977101
2015,8,0.146649
2015,9,0.208192
2015,10,0.264745
2015,11,0.315504
2015,12,0.354754
2015,13,0.383863
2015,14,0.407296
2015,15,0.426515
2015,16,0.43528
2015,17,0.446569
2015,18,0.455959
2015,19,0.463224
2015,20,0.466346
2015,21,0.468986
2015,22,0.472467
2015,23,0.475305
2015,24,0.477427
2015,25,0.479167
2015,26,0.480552
2015,27,0.481636
2015,28,0.482479
2015,29,0.483271
2015,30,0.483898
2015,31,0.484364
2015,32,0.484735
2015,33,0.485008
2015,34,0.485223
2015,35,0.485344
2015,36,0.485433
2015,37,0.485496
2015,38,0.485546
2015,39,0.48558
2015,40,0.485605
2015,41,0.485626
2015,42,0.485644
2015,43,0.485656
2015,44,0.485668
2015,45,0.485677
2015,46,0.485684
2015,47,0.48569
2015,48,0.485694
2015,49,0.485697
2015,50,0.485701
2015,51,0.485704
2015,52,0.485707
2016,1,0.000784853
2016,2,0.00321823
2016,3,0.00815243
2016,4,0.0175001
2016,5,0.0346127
2016,6,0.0637222
2016,7,0.0997406
2016,8,0.143406
2016,9,0.198313
2016,10,0.250495
2016,11,0.298853
2016,12,0.339962
2016,13,0.370704
2016,14,0.395324
2016,15,0.416128
2016,16,0.425802
2016,17,0.438461
2016,18,0.448611
2016,19,0.456697
2016,20,0.462033
2016,21,0.465101
2016,22,0.468747
2016,23,0.472842
2016,24,0.475762
2016,25,0.478256
2016,26,0.480485
2016,27,0.48216
2016,28,0.483535
2016,29,0.48448
2016,30,0.485177
2016,31,0.485668
2016,32,0.48601
2016,33,0.48629
2016,34,0.4865
2016,35,0.486615
2016,36,0.486687
2016,37,0.486741
2016,38,0.486785
2016,39,0.486813
2016,40,0.486833
2016,41,0.486849
2016,42,0.486861
2016,43,0.486869
2016,44,0.486878
2016,45,0.486885
2016,46,0.486892
2016,47,0.486897
2016,48,0.486899
2016,49,0.486901
2016,50,0.486903
2016,51,0.486903
2016,52,0.486903
2017,1,0.00169688
2017,2,0.00507467
2017,3,0.0104786
2017,4,0.0200878
2017,5,0.0363828
2017,6,0.0646348
2017,7,0.10137
2017,8,0.146576
2017,9,0.20334
2017,10,0.25602
2017,11,0.303865
2017,12,0.342699
2017,13,0.372159
2017,14,0.395813
2017,15,0.41462
2017,16,0.423295
2017,17,0.434508
2017,18,0.443845
2017,19,0.451209
2017,20,0.456092
2017,21,0.458187
2017,22,0.459196
2017,23,0.459847
2017,24,0.459873
2017,25,0.459873
